0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17.61544,4.966152,4.834801,4.852657,7.368809,7.985889,9.103092,8.435646,10.22943,9.025192,9.794884,9.414948,10.65347,10.92381,11.65572,12.91701,12.86751,12.02499,11.87335,12.30287,12.82053,14.64886,13.41521,13.29579,14.10251,14.40659,15.36627,13.88141,14.79446,11.73688,17.33218,13.48279,13.33588,13.52597,12.8985,11.51425,12.19919,11.75146,10.79422,13.9057,12.92178,12.58771,12.20053,16.54407,12.35736,12.17999,11.91156,14.6134,13.31665,12.68744
11,15,25,35,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
5,7,11,16,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
0,3,6,9,16,20,16,21,18,21,21,21,21,23,17,22,19,17,20,21,21,22,22,19,21,21,23,22,23,22,21,20,21,21,21,22,21,22,22,20,20,21,23,23,21,19,19,21,22,23
0,15,14,11,16,12,17,19,20,16,18,17,16,18,20,22,22,22,21,19,22,23,23,21,20,20,22,23,17,20,22,20,19,23,20,20,21,21,20,22,21,23,20,22,22,23,19,21,22,19
0,3,6,7,13,13,8,10,7,7,6,8,7,10,5,5,1,1,1,4,3,0,6,7,2,10,2,1,0,5,1,4,0,1,1,1,0,0,0,0,0,0,0,7,0,4,3,0,0,1
0,10,10,6,6,4,8,9,6,6,7,8,7,8,8,13,11,7,8,10,11,11,8,7,7,8,7,7,4,6,10,8,6,9,7,8,6,4,6,5,10,7,6,3,2,4,4,4,4,3
0,0,0,2,3,2,0,0,1,1,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,1,3,1,3,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
0,0,0,0,0,5,8,11,10,13,14,11,11,13,12,16,18,16,18,17,18,22,16,12,19,11,21,21,23,17,20,16,21,20,20,21,21,22,22,20,20,21,23,16,21,15,16,21,22,22
0,4,0,2,9,5,8,7,12,10,8,8,9,10,12,9,11,15,12,9,11,12,15,14,13,12,15,16,13,14,12,12,13,14,13,12,15,17,14,17,11,16,14,19,20,18,13,17,18,16
10,10,10,9.914286,9.897959,9.92,9.84,9.88,9.86,9.78,9.84,9.92,9.98,10.04,10.04,10.1,10.12,10.1,10.04,10.02,10.04,10.04,10.02,10.02,10.02,10,9.94,9.96,9.96,9.9,9.96,9.94,9.94,9.92,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.98,9.98,10.02,10.16,10.16,10.16,10.16
10,9.96,9.98,10,10,9.98,10,10,10.02,10.04,10.04,10.02,10.04,10.06,10.08,10.06,10.08,10.12,10.16,10.22,10.28,10.42,10.64,10.76,10.84,10.96,11,11.04,11.06,11.14,11.18,11.24,11.26,11.34,11.26,11.4,11.5,11.54,11.64,11.7,11.82,11.9,11.9,11.96,11.96,11.96,12,12.02,12.02,12.04
1,1,2,3,4,1,2,3,2,4,1,4,3,2,0,3,3,3,3,4,2,2,1,2,1,4,3,6,5,4,4,2,6,6,4,3,5,2,3,1,1,3,4,2,2,1,2,4,5,1
5,3,0,2,1,6,2,3,1,5,3,1,3,2,3,1,3,3,2,3,2,3,3,4,1,2,1,0,1,3,5,2,2,3,3,4,5,3,3,2,3,1,3,3,3,1,5,3,1,3
0,3,2,1,1,2,2,3,1,2,1,5,2,2,3,3,1,2,6,3,1,4,6,3,4,3,3,4,1,3,4,2,3,2,4,4,5,4,3,6,4,5,4,5,5,3,6,2,5,3
3,0,3,2,0,2,2,2,1,3,2,0,3,1,1,3,3,2,5,4,6,5,6,2,4,4,1,3,3,2,4,2,6,3,3,5,5,4,4,1,3,6,4,3,5,3,4,3,3,2
1,0,1,0,7,3,1,6,1,4,4,2,1,6,3,5,2,3,4,4,3,5,2,2,9,3,2,3,2,2,3,4,0,2,4,2,3,7,3,3,4,5,1,3,3,3,6,3,1,2
1,2,1,3,3,2,5,2,3,0,2,4,4,5,3,5,3,6,3,5,5,3,3,1,3,4,5,5,4,4,1,1,7,4,3,4,2,3,3,3,2,3,2,5,1,1,2,4,3,4
0,0,1,6,2,2,4,2,5,4,7,4,6,3,3,2,4,3,3,4,4,3,3,6,2,4,4,3,3,1,2,7,5,6,3,3,1,7,6,2,1,4,4,2,3,3,2,6,7,6
1,2,2,3,4,1,3,4,2,4,5,4,1,4,6,3,4,6,4,3,4,7,2,2,4,5,5,1,6,6,3,5,3,1,1,5,3,2,5,3,4,1,2,1,4,4,2,3,3,4
0.7138429,0.7081094,0.7204374,0.7096811,0.7094021,0.7107252,0.7083009,0.6970372,0.7051969,0.7115734,0.7243179,0.732582,0.7594337,0.7699403,0.7835705,0.8037909,0.8294362,0.8075848,0.7804614,0.7652389,0.7990071,0.7945876,0.7876396,0.7855329,0.7670562,0.753549,0.7346232,0.7187645,0.7011249,0.6854172,0.6533081,0.6510407,0.6442381,0.6429892,0.6424024,0.6471783,0.6514979,0.6516854,0.6542118,0.6552469,0.6715841,0.6806387,0.6805077,0.6815976,0.6808827,0.6872414,0.6858313,0.6890708,0.6887134,0.6920967
0.8177781,0.8147224,0.8172226,0.8310003,0.8265558,0.8285003,0.8291115,0.8268892,0.8340002,0.8344446,0.827778,0.8220558,0.8291012,0.8203791,0.8120457,0.8289346,0.8399447,0.8382224,0.8387779,0.8491669,0.8756114,0.8656667,0.844586,0.8354344,0.828212,0.8368787,0.8304512,0.8237541,0.8232289,0.829926,0.8358455,0.8324717,0.8192394,0.8072293,0.8032392,0.8354914,0.834946,0.8334914,0.8425824,0.8431277,0.8526663,0.873515,0.8807878,0.8853333,0.8853333,0.8816364,0.8836363,0.8837879,0.8837879,0.8839394
0.3255122,0.3397073,0.3409097,0.3434786,0.3482301,0.3551246,0.3745933,0.3810592,0.3991075,0.4099508,0.4260515,0.4163477,0.4196022,0.4302323,0.4292012,0.4233949,0.4264757,0.4416357,0.4631321,0.4727022,0.4542698,0.4263656,0.4279026,0.4341068,0.4442828,0.4377834,0.4358334,0.4401244,0.4344668,0.4358048,0.4320879,0.4299692,0.4204564,0.4317238,0.4367981,0.4420803,0.4478593,0.4470733,0.456147,0.4647537,0.4942617,0.5077572,0.5290959,0.5315749,0.5389847,0.541238,0.5493988,0.5385244,0.5422298,0.5421842
0.03521451,0.03494699,0.03531942,0.0361724,0.03527195,0.03579064,0.03397427,0.03333526,0.03395726,0.03419696,0.03410294,0.03378305,0.03494083,0.03474934,0.03495479,0.03695355,0.03795243,0.03673341,0.03556412,0.03525833,0.03703012,0.0377362,0.03776284,0.0376412,0.0383213,0.03871815,0.03870155,0.03857182,0.03898899,0.04000771,0.04088449,0.04123905,0.0413979,0.04149577,0.04076204,0.04106837,0.04163319,0.04176314,0.04237108,0.04280649,0.04360325,0.04424822,0.04437003,0.04473003,0.04486819,0.04490092,0.04529429,0.04551784,0.04578562,0.04605429
0.4968887,0.5765951,0.629547,0.6874477,0.7302051,0.7518592,0.7711242,0.7955616,0.8136955,0.8356037,0.8547736,0.8736528,0.8929112,0.90503,0.9167824,0.934376,0.9441009,0.9499623,0.9566277,0.9627149,0.9673293,0.9697472,0.9711249,0.9717301,0.9730361,0.9740598,0.9749702,0.9759783,0.9765598,0.9773829,0.9786541,0.9790909,0.9793136,0.9796924,0.9799071,0.9801564,0.9804499,0.9806,0.9808533,0.9810831,0.9816039,0.9818758,0.9820064,0.9820524,0.9820778,0.9822364,0.9823352,0.9823737,0.9824246,0.9825107
0.6478331,0.6417143,0.6492683,0.6225666,0.6245704,0.6786549,0.6890605,0.7038435,0.7199289,0.7203995,0.7227976,0.7133617,0.7102618,0.7257757,0.7262977,0.7197902,0.719907,0.7199103,0.7296676,0.7402722,0.7460757,0.7460757,0.7481474,0.7484326,0.7525269,0.7414156,0.7390649,0.7387267,0.7387267,0.7387064,0.7386029,0.7483168,0.7483168,0.7527057,0.7534235,0.7540054,0.7540054,0.7540054,0.7540054,0.7540054,0.7540054,0.7540054,0.7540054,0.7457121,0.7457121,0.758575,0.765773,0.765773,0.765773,0.765773
0.7777777,0.7924074,0.8094445,0.8140931,0.8211777,0.8296669,0.8305321,0.8405874,0.8571432,0.8550955,0.8603178,0.8594829,0.8630687,0.8596245,0.8665689,0.8677355,0.8677355,0.8695133,0.8692911,0.8697355,0.875172,0.875172,0.8836972,0.8775861,0.8780305,0.8884193,0.8926415,0.8881971,0.8881971,0.8853081,0.8833082,0.8852527,0.8852527,0.8872526,0.8847526,0.8847526,0.8847526,0.8847526,0.8847526,0.8847526,0.8847526,0.8847526,0.8847526,0.8852526,0.8852526,0.8883233,0.8877425,0.8877425,0.8877425,0.8921869
0.231325,0.313723,0.4008641,0.4203286,0.4521998,0.486436,0.5191377,0.5232311,0.5225451,0.5366912,0.5330265,0.5257979,0.5350954,0.5429131,0.5475188,0.5523263,0.5496708,0.5519068,0.552532,0.5564512,0.5560003,0.5560003,0.5601189,0.565222,0.5646029,0.5731822,0.58119,0.5785913,0.5785913,0.5787118,0.5754386,0.5749655,0.5749655,0.5771191,0.575514,0.5739613,0.5739613,0.5739613,0.5739613,0.5739613,0.5739613,0.5739613,0.5739613,0.5717658,0.5717658,0.5752844,0.5793925,0.5793925,0.5793925,0.5810166
0.03159982,0.03160001,0.0313565,0.03102421,0.03060663,0.03156943,0.03156341,0.03269293,0.03300145,0.03272739,0.03314277,0.03432157,0.03449744,0.03489738,0.03498821,0.03542776,0.03561714,0.03560323,0.03505709,0.03488709,0.03500926,0.03500926,0.0348251,0.03505544,0.03515926,0.0358458,0.0357249,0.03596133,0.03596133,0.03604339,0.03647529,0.03627051,0.03627051,0.03615937,0.03595639,0.03600148,0.03600148,0.03600148,0.03600148,0.03600148,0.03600148,0.03600148,0.03600148,0.03641213,0.03641213,0.03632416,0.03641025,0.03641025,0.03641025,0.03636955
3,6,9,16,20,16,21,18,21,21,21,21,23,17,22,19,17,20,21,21,22,22,19,21,21,23,22,23,22,21,20,21,21,21,22,21,22,22,20,20,21,23,23,21,19,19,21,22,23,23
15,14,11,16,12,17,19,20,16,18,17,16,18,20,22,22,22,21,19,22,23,23,21,20,20,22,23,17,20,22,20,19,23,20,20,21,21,20,22,21,23,20,22,22,23,19,21,22,19,21
1,1,2,2,3,1,2,3,2,3,1,3,2,2,0,3,1,1,2,4,1,1,0,2,1,3,3,6,4,0,3,2,4,4,2,3,5,2,1,1,1,3,3,2,1,1,2,2,5,1
3,1,0,2,1,3,2,1,0,3,2,1,1,1,3,1,3,3,1,1,2,3,2,3,1,1,1,0,1,0,1,0,1,3,2,3,4,3,2,0,3,1,1,1,3,1,2,2,1,2
0,2,1,0,1,1,0,2,0,2,1,3,1,0,2,2,1,1,3,0,1,2,1,2,0,0,2,2,0,1,2,0,0,1,3,1,2,3,3,2,1,4,1,1,1,3,2,2,2,1
1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1,0,3,1,2,1,1,1,1,2,1,3,1,1,1,0,2,2,2,2,2,0,0,0,1,0,0,1,5,2,3,0,2,1
1,0,1,0,7,3,1,6,1,3,4,0,1,6,3,5,2,3,3,3,2,4,2,2,7,2,1,3,1,2,2,4,0,2,2,2,3,6,3,3,3,5,1,2,2,3,4,3,1,2
1,1,1,2,3,2,5,2,3,0,2,4,3,4,3,3,3,6,3,4,4,2,2,1,3,2,4,5,2,4,1,1,5,2,2,4,1,3,3,3,2,2,1,5,0,0,2,3,3,3
0,0,1,1,0,1,2,2,2,1,1,2,2,1,2,0,3,2,2,2,2,1,1,1,1,3,1,2,3,0,1,4,3,4,1,1,0,2,1,2,0,0,2,1,3,1,0,4,2,2
0,0,1,2,2,0,1,1,1,3,3,2,0,3,3,0,3,3,2,1,3,2,1,1,1,3,1,1,2,3,2,4,1,0,1,3,2,1,1,2,1,0,0,0,1,1,2,0,1,3
